Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	AC-P02-Tumor-SM-63B4K	AC-P04-Tumor-SM-63B4O	AC-P04-Tumor-SM-63B4Q	AC-P05-Tumor-SM-63B4R	AC-P06-Tumor-SM-63B4T	AC-P07-Tumor-SM-63B4V	AC-P08-Tumor-SM-63B4X	AC-P09-Tumor-SM-63B4Z	AC-P09-Tumor-SM-63B52	AC-P10-Tumor-SM-63B53	AC-P10-Tumor-SM-63B55	AC-P11-Tumor-SM-63B56	AC-P12-Tumor-SM-63B58	AC-P12-Tumor-SM-63B59	AC-P14-Tumor-SM-63B5C	AC-P15-Tumor-SM-63B5D	AC-P15-Tumor-SM-63B5F	
Deletion Peak  8	3p14.2  	chr3:55514947-93779789(probes 64411:66008)        	chr3:62063836-65344736(probes 64979:65258)        	chr3:61734659-65346871(probes 64976:65260)        	0.20088	  0.20544		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	
Deletion Peak  9	3q26.1  	chr3:1-198022430(probes 55758:75144)              	chr3:164059130-167223092(probes 72502:72558)    	chr3:164905684-166958578(probes 72504:72505)    	0.24754	  0.24754		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
Deletion Peak 10	5p15.2  	chr5:1-180915260(probes 87409:101651)              	chr5:14507988-14665087(probes 88178:88191)        	chr5:14508534-14673748(probes 88179:88192)        	0.22976	  0.24649		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Deletion Peak 11	5q35.2  	chr5:175959197-176047809(probes 100568:100618)  	chr5:175959366-176047809(probes 100569:100618)  	chr5:176008343-176011261(probes 100594:100595)  	0.068328	  0.20544		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	
Deletion Peak 12	5q35.2  	chr5:176402484-176563032(probes 100677:100719)  	chr5:176409469-176517743(probes 100678:100692)  	chr5:176471389-176477938(probes 100686:100687)  	0.012292	  0.01267		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	
Deletion Peak 13	7q11.23 	chr7:1-159138663(probes 117150:131595)             	chr7:74251401-74457218(probes 122665:122685)      	chr7:74299942-74466815(probes 122667:122686)      	0.12512	  0.24754		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	
Deletion Peak 14	7q21.3  	chr7:95053900-95750500(probes 124704:124753)      	chr7:95064189-95216319(probes 124705:124713)      	chr7:95115473-95499311(probes 124708:124734)      	0.038738	 0.044427		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
Deletion Peak 15	7q36.1  	chr7:150327145-150696275(probes 130695:130747)  	chr7:150501914-150696275(probes 130721:130747)  	chr7:150648211-150649510(probes 130735:130736)  	0.025916	  0.01747		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	
Deletion Peak 16	10p14   	chr10:1-135534747(probes 155782:168913)           	chr10:11047404-11291113(probes 156463:156464)    	chr10:11060127-11291165(probes 156464:156465)    	0.22976	        1		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	
Deletion Peak 17	10q24.1 	chr10:1-135534747(probes 155782:168913)           	chr10:98469323-98711857(probes 163767:163768)    	chr10:98336589-98714707(probes 163736:163770)    	0.11414	        1		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Deletion Peak 18	10q24.1 	chr10:98240219-98741145(probes 163706:163772)    	chr10:98469323-98711857(probes 163767:163768)    	chr10:98336589-98714707(probes 163736:163770)    	0.11414	  0.11414		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Deletion Peak 19	11q22.3 	chr11:77784190-135006516(probes 181135:186828)  	chr11:108236051-111411654(probes 183110:183295)	chr11:108256705-117782480(probes 183115:184330)	0.11414	  0.12512		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	
Deletion Peak 20	11q24.2 	chr11:124539420-124740060(probes 185786:185830)	chr11:124543537-124740060(probes 185787:185830)	chr11:124551358-124564343(probes 185792:185793)	0.035958	  0.11395		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	
Deletion Peak 21	12q15   	chr12:71031122-71898466(probes 197400:197436)    	chr12:71031122-71523108(probes 197400:197422)    	chr12:71139597-71148082(probes 197412:197413)    	0.059945	 0.044427		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Deletion Peak 22	13q13.3 	chr13:1-115169878(probes 205126:210824)         	chr13:32869338-38143521(probes 206296:206825)    	chr13:32869600-32899322(probes 206297:206298)    	0.24754	  0.24754		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	
Deletion Peak 23	14q32.13	chr14:64678819-107349540(probes 215747:221379)  	chr14:95786047-96103098(probes 219607:219647)    	chr14:95690195-96134460(probes 219605:219653)    	0.15369	  0.15946		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	
Deletion Peak 24	18q21.31	chr18:1-78077248(probes 262787:267139)             	chr18:53254275-55218079(probes 266117:266197)    	chr18:53254350-54281828(probes 266118:266119)    	0.22976	  0.24649		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  1 - CN values	1q21.3  	chr1:152799948-153043094(probes 18362:18375)	chr1:152800284-153012823(probes 18363:18373)	chr1:152800284-153177481(probes 18363:18382)	0.012438	   0.012438		Actual Copy Change Given	0.33382	1.0618	1.2071	0.99435	-0.010379	0.0085055	0.20654	0.3131	0.4993	2.3694	0.06846	2.88	0	0.22652	-0.0035732	0.20532	0.025396	
Amplification Peak  2 - CN values	2p23.1  	chr2:31598423-31754526(probes 34945:34965)    	chr2:31602845-31628831(probes 34947:34963)    	chr2:31600106-32108452(probes 34946:34967)    	0.032239	   0.032239		Actual Copy Change Given	-0.031662	1.3677	0.27098	0.73154	-0.0055888	0.049615	-0.012488	0.065895	0.27908	0.74995	0.67784	2.0967	-0.00059958	0.61715	-0.0069479	1.0052	-0.015267	
Amplification Peak  3 - CN values	2p21    	chr2:42488260-42530452(probes 35801:35817)    	chr2:42488437-42530370(probes 35802:35816)    	chr2:42488437-42531621(probes 35802:35819)    	0.10301	    0.10301		Actual Copy Change Given	5.8429	-0.038392	-0.077282	-0.021009	-0.0055888	-0.016606	-0.012488	-0.020168	-0.0086086	0.158	-0.039523	-0.10975	-0.00059958	-0.081555	-0.0069479	-0.030617	-0.015267	
Amplification Peak  4 - CN values	2q11.1  	chr2:95847857-95947887(probes 40099:40117)    	chr2:95941883-95947114(probes 40101:40115)    	chr2:95941883-95947975(probes 40101:40118)    	0.20586	    0.20586		Actual Copy Change Given	-0.012313	0.59508	0.6533	0.74542	-0.0055888	-0.016606	-0.012488	-0.026957	0.38919	0.90913	0.066099	1.988	0.0037973	0.018146	-0.013697	1.0034	0.11343	
Amplification Peak  5 - CN values	3q28    	chr3:189584470-189681888(probes 74525:74541)	chr3:189584589-189675794(probes 74526:74540)	chr3:167189625-198022430(probes 72558:75144)	1.218e-07	  1.218e-07		Actual Copy Change Given	1.1172	1.2204	0.85945	0.99237	0.28224	5.6879	0.25094	0.092252	0.63684	1.9666	0.052492	5.1399	0.45788	1.1878	0.23444	2.9339	2.9433	
Amplification Peak  6 - CN values	4q23    	chr4:100263953-100443867(probes 82401:82416)	chr4:100334332-100434366(probes 82403:82415)	chr4:100334332-100445743(probes 82403:82418)	0.22636	    0.22636		Actual Copy Change Given	-0.36705	1.1114	-0.30563	0.026558	-0.0011976	-0.0022276	0.01665	0.019169	-0.002002	0.36644	0.83812	2.5537	0.011792	0.43928	0.0025806	-0.55988	-0.4532	
Amplification Peak  7 - CN values	11q13.3 	chr11:69631087-70507698(probes 179565:179700)	chr11:69957869-70026161(probes 179568:179582)	chr11:69631194-71146886(probes 179566:179702)	0.0071075	  0.0071075		Actual Copy Change Given	0.092446	1.0152	0.12634	-0.027351	-0.0031936	0.00060753	-0.015461	-0.0097843	0.0046046	-0.070854	0.14052	6	0.36055	0.39701	0.037693	0.18927	0	
Amplification Peak  8 - CN values	12p12.1 	chr12:25314046-25672789(probes 190233:190246)	chr12:25314134-25671902(probes 190234:190245)	chr12:25314134-25679030(probes 190234:190248)	0.0021045	  0.0021045		Actual Copy Change Given	0.11336	0.12438	-0.045163	-0.0015856	0.001996	-0.0048603	-0.012686	-0.011182	-0.018218	0.10285	0.13013	0.046712	0.0079944	0.015753	0.011315	6	6	
Amplification Peak  9 - CN values	12q13.13	chr12:52885523-52940291(probes 193598:193613)	chr12:52909027-52938528(probes 193600:193612)	chr12:52800064-52941767(probes 193584:193615)	0.0071075	  0.0071075		Actual Copy Change Given	0.063911	1.2228	0.8028	1.2859	0.001996	0.84184	0.55322	0.17252	0.21582	1.9376	-0.2036	3.4327	0.1413	0.67777	0.011315	1.2205	0.089236	
Amplification Peak 10 - CN values	17q21.2 	chr17:39767756-39846442(probes 253121:253134)	chr17:39775943-39780762(probes 253123:253132)	chr17:39768943-39871686(probes 253122:253136)	0.027738	   0.027738		Actual Copy Change Given	-0.0016044	1.4763	0.79683	0.56149	-0.0060203	0.80923	0.49316	0.017572	0.14274	0.99745	-0.46128	1.9762	0.10792	0.27378	0.0041687	1.6874	0.1543	
Amplification Peak 11 - CN values	18q21.33	chr18:61304952-61387388(probes 266626:266649)	chr18:61306577-61387246(probes 266628:266648)	chr18:61170958-61388219(probes 266600:266651)	2.1078e-05	 2.1078e-05		Actual Copy Change Given	0.034203	2.0614	2.0714	2.0601	0.000998	0.64439	0.025372	-0.0039936	0.24825	1.7382	0.017163	6	0.22664	0.7988	0.0073449	1.8415	0.30027	
Amplification Peak 12 - CN values	20q13.31	chr20:55206860-55777680(probes 292205:292216)	chr20:55206915-55746165(probes 292206:292212)	chr20:55206915-55758976(probes 292206:292215)	0.13082	    0.13082		Actual Copy Change Given	-0.063325	1.2861	1.0882	1.013	0.0093812	-0.025111	0.18117	0.0063898	-0.022022	1.0552	-0.039287	1.6504	0.0057959	-0.063011	0.0033747	1.1126	0.42694	
Deletion Peak  1 - CN values	1p36.23 	chr1:3564127-11708748(probes 148:1597)             	chr1:8934882-9211726(probes 924:993)                	chr1:9017347-9022643(probes 933:934)                	0.11414	  0.11414		Actual Copy Change Given	-0.39988	0.036193	0.14892	0.32861	0.23852	-0.54293	0.023191	0.018012	0.0052052	0.10559	-0.52296	0.71532	0.35671	0.45643	-0.0035732	-0.035031	0.058331	
Deletion Peak  2 - CN values	2p21    	chr2:1-243199373(probes 31801:55757)               	chr2:40006253-42483638(probes 35775:35797)        	chr2:40366819-40392125(probes 35780:35781)        	0.24649	  0.24649		Actual Copy Change Given	-0.031662	-0.038392	-0.077282	-0.021009	-0.0055888	-0.016606	-0.012488	-0.020168	-0.0086086	-0.35231	-0.039523	-0.70837	-0.00059958	-0.081555	-0.0069479	-0.54483	-0.015267	
Deletion Peak  3 - CN values	2p16.2  	chr2:50850754-54753553(probes 36695:36833)        	chr2:53992513-54093361(probes 36714:36749)        	chr2:53999043-54001663(probes 36718:36719)        	0.1385	  0.15004		Actual Copy Change Given	0.39304	-0.083183	0.052365	-0.021009	-0.0055888	-0.016606	-0.012488	-0.63538	-0.62462	0.13209	0.062073	-0.03803	-0.00059958	0.0333	-0.0069479	0.02576	-0.015267	
Deletion Peak  4 - CN values	2q34    	chr2:204736213-215797355(probes 50712:51513)    	chr2:206927524-213872809(probes 50822:51453)    	chr2:203693735-215632203(probes 50518:51501)    	0.012292	  0.01267		Actual Copy Change Given	0.025017	-0.021596	-0.33444	-0.013477	-0.0055888	0.0044552	-0.012488	-0.67812	-0.71972	-0.010599	0.17525	-0.35448	0.015789	0.022532	-0.0053598	-0.37068	-0.31922	
Deletion Peak  5 - CN values	2q37.1  	chr2:1-243199373(probes 31801:55757)               	chr2:233164749-233321056(probes 54231:54232)    	chr2:225750903-243199373(probes 53415:55757)    	0.09075	  0.24754		Actual Copy Change Given	-0.33304	0.0057988	-0.33483	-0.5389	-0.0055888	0.010328	-0.012488	-0.026558	-0.023824	-0.13719	-0.021559	-0.55291	0.015789	0.0023928	-0.0053598	-0.37068	-0.33996	
Deletion Peak  6 - CN values	3p24.1  	chr3:28562610-31574805(probes 58083:58150)        	chr3:30045346-31574805(probes 58112:58150)        	chr3:29323250-30842378(probes 58086:58135)        	0.11414	  0.11414		Actual Copy Change Given	-0.044399	-0.19576	-0.47966	-0.0081261	-0.26248	-0.012556	-0.19187	-0.01278	0.015415	-1.2026	-0.09122	-0.32709	0.010593	-0.021137	-0.12824	0.095178	-0.037428	
Deletion Peak  7 - CN values	3p21.31 	chr3:45781139-45867825(probes 60217:60236)        	chr3:45785024-45867825(probes 60218:60236)        	chr3:45800622-45867803(probes 60221:60235)        	0.18135	  0.19147		Actual Copy Change Given	-0.12137	-0.26375	-0.48258	-0.0081261	-0.26248	-0.012556	-0.19187	-0.01278	0.043844	-0.55191	-0.019963	-0.83685	-0.34956	-0.40837	-0.12824	-0.11669	-0.037428	
Deletion Peak  8 - CN values	3p14.2  	chr3:55514947-93779789(probes 64411:66008)        	chr3:62063836-65344736(probes 64979:65258)        	chr3:61734659-65346871(probes 64976:65260)        	0.20088	  0.20544		Actual Copy Change Given	-0.35219	-0.32414	-0.49328	0.0045585	-0.26248	-0.029972	-0.17483	-0.071086	-0.01962	-0.44338	-0.0095833	-0.43113	-0.34956	-0.42393	-0.10739	-0.44612	-0.50078	
Deletion Peak  9 - CN values	3q26.1  	chr3:1-198022430(probes 55758:75144)              	chr3:164059130-167223092(probes 72502:72558)    	chr3:164905684-166958578(probes 72504:72505)    	0.24754	  0.24754		Actual Copy Change Given	0.8842	0.21756	-0.14483	0.0045585	0.28224	4.7495	0.18513	0.24361	-0.01962	0.23278	-0.019364	1.3773	0.35775	0.37926	0.19891	-0.55306	-0.46235	
Deletion Peak 10 - CN values	5p15.2  	chr5:1-180915260(probes 87409:101651)              	chr5:14507988-14665087(probes 88178:88191)        	chr5:14508534-14673748(probes 88179:88192)        	0.22976	  0.24649		Actual Copy Change Given	-0.77475	0.087972	-0.17676	-0.0039639	0.011577	-0.06387	-0.0065411	-0.038738	-0.015816	-0.093032	0.0025923	-0.31113	0.0075947	-0.00079761	0.0023971	0.39151	0.44497	
Deletion Peak 11 - CN values	5q35.2  	chr5:175959197-176047809(probes 100568:100618)  	chr5:175959366-176047809(probes 100569:100618)  	chr5:176008343-176011261(probes 100594:100595)  	0.068328	  0.20544		Actual Copy Change Given	-0.46458	-0.16117	-0.069689	-0.033297	0.0053892	-0.026124	0.014668	-0.018171	0.0088088	0.1156	-0.10878	-0.31133	0.0077945	0.0043868	0.0023971	-0.726	-0.47693	
Deletion Peak 12 - CN values	5q35.2  	chr5:176402484-176563032(probes 100677:100719)  	chr5:176409469-176517743(probes 100678:100692)  	chr5:176471389-176477938(probes 100686:100687)  	0.012292	  0.01267		Actual Copy Change Given	-0.40711	0.031594	-0.069689	-0.033297	0.0053892	-0.026124	0.014668	-0.018171	0.0088088	-0.094799	-0.10878	-0.31133	0.0077945	0.0043868	0.0023971	-0.46177	-0.47693	
Deletion Peak 13 - CN values	7q11.23 	chr7:1-159138663(probes 117150:131595)             	chr7:74251401-74457218(probes 122665:122685)      	chr7:74299942-74466815(probes 122667:122686)      	0.12512	  0.24754		Actual Copy Change Given	-0.50796	0.076985	0.10901	0.0049549	0.0037924	-0.4273	-0.0057483	0.0061901	0.044845	0.0068695	0.051494	0.086305	-0.01359	-0.023131	-0.0027792	-0.49849	-0.42982	
Deletion Peak 14 - CN values	7q21.3  	chr7:95053900-95750500(probes 124704:124753)      	chr7:95064189-95216319(probes 124705:124713)      	chr7:95115473-95499311(probes 124708:124734)      	0.038738	 0.044427		Actual Copy Change Given	-0.044366	-0.29954	-0.0072026	0.0049549	0.0037924	-0.15593	-0.0057483	-0.20727	-0.17918	-0.10638	0.76367	0.086305	-0.010992	-0.010169	-0.0027792	-0.87286	-0.50688	
Deletion Peak 15 - CN values	7q36.1  	chr7:150327145-150696275(probes 130695:130747)  	chr7:150501914-150696275(probes 130721:130747)  	chr7:150648211-150649510(probes 130735:130736)  	0.025916	  0.01747		Actual Copy Change Given	0.41007	-0.14257	-0.2883	-0.22958	0.0037924	-0.0014176	-0.0057483	-0.010383	0.07968	-0.21766	-0.22934	-0.81498	-0.32279	-0.51346	0.0023821	-0.16103	-0.01303	
Deletion Peak 16 - CN values	10p14   	chr10:1-135534747(probes 155782:168913)           	chr10:11047404-11291113(probes 156463:156464)    	chr10:11060127-11291165(probes 156464:156465)    	0.22976	        1		Actual Copy Change Given	0.31135	-0.054989	-0.52112	-0.11357	-0.010379	-0.022074	-0.19921	-0.046526	-0.062062	-0.51364	-0.57745	-0.88493	0.0033976	-0.032702	-0.0051613	-0.53319	-0.01608	
Deletion Peak 17 - CN values	10q24.1 	chr10:1-135534747(probes 155782:168913)           	chr10:98469323-98711857(probes 163767:163768)    	chr10:98336589-98714707(probes 163736:163770)    	0.11414	        1		Actual Copy Change Given	-0.38483	-0.0085983	-0.45747	-0.24755	-0.010379	0.026529	-0.19346	-0.10723	-0.12953	-0.39313	-0.055491	-0.50818	-0.0073948	-0.059422	-0.0033747	-0.032824	0.024379	
Deletion Peak 18 - CN values	10q24.1 	chr10:98240219-98741145(probes 163706:163772)    	chr10:98469323-98711857(probes 163767:163768)    	chr10:98336589-98714707(probes 163736:163770)    	0.11414	  0.11414		Actual Copy Change Given	-0.38483	-0.0085983	-0.45747	-0.24755	-0.010379	0.026529	-0.19346	-0.10723	-0.12953	-0.39313	-0.055491	-0.50818	-0.0073948	-0.059422	-0.0033747	-0.032824	0.024379	
Deletion Peak 19 - CN values	11q22.3 	chr11:77784190-135006516(probes 181135:186828)  	chr11:108236051-111411654(probes 183110:183295)	chr11:108256705-117782480(probes 183115:184330)	0.11414	  0.12512		Actual Copy Change Given	-0.41669	-0.021396	0.020635	-0.069567	-0.0031936	-0.54001	-0.19643	-0.0097843	-0.007007	-0.61178	0.022752	-0.65574	-0.35675	-0.4325	0.0025806	-0.58516	-0.48268	
Deletion Peak 20 - CN values	11q24.2 	chr11:124539420-124740060(probes 185786:185830)	chr11:124543537-124740060(probes 185787:185830)	chr11:124551358-124564343(probes 185792:185793)	0.035958	  0.11395		Actual Copy Change Given	-0.41669	-0.18196	-0.059763	-0.051135	-0.0031936	-0.60571	-0.19643	-0.0097843	-0.041441	-0.95289	-0.073056	-1.1888	-0.35675	-0.41815	0.0025806	-0.019381	0.040644	
Deletion Peak 21 - CN values	12q15   	chr12:71031122-71898466(probes 197400:197436)    	chr12:71031122-71523108(probes 197400:197422)    	chr12:71139597-71148082(probes 197412:197413)    	0.059945	 0.044427		Actual Copy Change Given	0.080328	-0.045791	-0.029395	0.037063	0.001996	-0.038477	-0.014866	0.018371	-0.017417	0.1054	-0.36607	-0.27842	0.04297	0.024128	0.00933	-0.019983	-0.053489	
Deletion Peak 22 - CN values	13q13.3 	chr13:1-115169878(probes 205126:210824)         	chr13:32869338-38143521(probes 206296:206825)    	chr13:32869600-32899322(probes 206297:206298)    	0.24754	  0.24754		Actual Copy Change Given	0.010163	-0.05099	0.044384	0.010306	-0.0025948	-0.58181	0.0047572	-0.13558	-0.16517	-0.15623	-0.22475	-0.80828	0.010593	-0.098305	-0.016476	-0.47762	-0.0099807	
Deletion Peak 23 - CN values	14q32.13	chr14:64678819-107349540(probes 215747:221379)  	chr14:95786047-96103098(probes 219607:219647)    	chr14:95690195-96134460(probes 219605:219653)    	0.15369	  0.15946		Actual Copy Change Given	-0.40614	-0.15817	-0.21043	-0.21901	0.020284	-0.056096	0.098315	-0.015176	-0.19199	0.016683	0.73413	-0.5598	0.0055961	0.0013958	-0.09406	-0.52096	-0.041087	
