Gene Symbol	Locus ID	Cytoband	AC-P02-Tumor-SM-63B4K	AC-P04-Tumor-SM-63B4O	AC-P04-Tumor-SM-63B4Q	AC-P05-Tumor-SM-63B4R	AC-P06-Tumor-SM-63B4T	AC-P07-Tumor-SM-63B4V	AC-P08-Tumor-SM-63B4X	AC-P09-Tumor-SM-63B4Z	AC-P09-Tumor-SM-63B52	AC-P10-Tumor-SM-63B53	AC-P10-Tumor-SM-63B55	AC-P11-Tumor-SM-63B56	AC-P12-Tumor-SM-63B58	AC-P12-Tumor-SM-63B59	AC-P14-Tumor-SM-63B5C	AC-P15-Tumor-SM-63B5D	AC-P15-Tumor-SM-63B5F
CCNL2	81669	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
CDK11A	728642	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
CDK11B	984	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
CPSF3L	54973	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
DDX11L1|chr1	100287102	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
DVL1	1855	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
FAM132A	388581	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
FAM138A|chr1	645520	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
FAM138F|chr1	641702	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
FAM213B	127281	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
FAM41C	284593	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
FLJ42875	440556	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
GABRD	2563	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
GLTPD1	80772	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
GNB1	2782	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
HES4	57801	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
HES5	388585	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
ISG15	9636	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
KIAA1751	85452	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
KLHL17	339451	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LINC00115	79854	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC100129534	100129534	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC100130417	100130417	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC100132062|chr1	100132062	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC100132287|chr1	100132287	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC100133331|chr1	100133331	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC100133445	100133445	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC100288069	100288069	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC115110	115110	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC148413	148413	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC254099	254099	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC643837	643837	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
LOC729737	729737	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
MIB2	142678	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
MIR200A	406983	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
MIR200B	406984	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
MIR4251	100422968	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
MIR429	554210	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
MMEL1	79258	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
MMP23A	8511	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
MMP23B	8510	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
MORN1	79906	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
MRPL20	55052	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
MXRA8	54587	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
NADK	65220	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
NOC2L	26155	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
OR4F16|chr1	81399	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
OR4F29|chr1	729759	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
OR4F3|chr1	26683	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
OR4F5	79501	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
PANK4	55229	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
PEX10	5192	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
PLCH2	9651	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
PLEKHN1	84069	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
PRDM16	63976	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.002	0.114	-0.218	0.024	0.355	0.391	0.073	0.070	0.058
PRKCZ	5590	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
PUSL1	126789	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
RER1	11079	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
RNF223	401934	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
SAMD11	148398	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
SCNN1D	6339	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
SDF4	51150	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
SKI	6497	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
SLC35E2B	728661	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
SLC35E2	9906	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
SSU72	29101	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
TAS1R3	83756	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
TMEM240	339453	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
TMEM52	339456	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
TMEM88B	643965	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
TNFRSF14	8764	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
TNFRSF18	8784	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
TNFRSF4	7293	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
TTC34	100287898	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
TTLL10	254173	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
UBE2J2	118424	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
VWA1	64856	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
WASH7P	653635	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
hsa-mir-1302-2	-585	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
hsa-mir-200a	-593	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
hsa-mir-200b	-593	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
hsa-mir-4251	-608	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
hsa-mir-429	-593	1p36.33	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	-0.025	0.086	-0.218	-0.086	0.344	0.366	0.073	0.070	0.058
ARHGEF16	27237	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	0.232	0.676	-0.218	0.715	0.564	0.882	0.073	0.070	0.058
MEGF6	1953	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	0.232	0.605	-0.218	0.715	0.575	0.908	0.073	0.070	0.058
MIR551A	693135	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	0.232	0.279	-0.218	0.715	0.575	0.908	0.073	0.070	0.058
hsa-mir-551a	-611	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	0.232	0.279	-0.218	0.715	0.575	0.908	0.073	0.070	0.058
TPRG1L	127262	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	0.232	0.279	-0.218	0.715	0.575	0.908	0.073	0.070	0.058
WRAP73	49856	1p36.32	-0.400	0.036	0.113	0.329	0.239	0.115	0.023	0.018	0.232	0.279	-0.218	0.715	0.575	0.908	0.073	0.070	0.058
TP73	7161	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.191	0.023	0.018	0.232	0.279	-0.118	0.715	0.575	0.893	0.073	0.070	0.058
TP73-AS1	57212	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	0.147	0.279	0.015	0.715	0.575	0.636	0.073	0.070	0.058
CCDC27	148870	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.011	0.279	0.015	0.715	0.557	0.500	0.073	0.070	0.058
LOC388588	388588	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.022	0.279	0.015	0.715	0.357	0.500	0.073	0.070	0.058
LRRC47	57470	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.022	0.279	0.015	0.715	0.357	0.500	0.073	0.070	0.058
CEP104	9731	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.022	0.096	0.015	0.715	0.357	0.500	0.073	0.070	0.058
DFFB	1677	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.022	0.047	0.015	0.715	0.357	0.500	0.073	0.070	0.058
C1orf174	339448	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.022	0.047	0.015	0.715	0.357	0.500	0.073	0.070	0.058
AJAP1	55966	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.022	0.047	0.015	0.715	0.357	0.500	0.073	0.070	0.058
LOC100133612	100133612	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.022	0.047	0.015	0.715	0.357	0.500	0.073	0.070	0.058
LOC284661	284661	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.022	0.047	0.015	0.715	0.357	0.500	0.073	0.070	0.058
LOC728716	728716	1p36.32	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.022	0.047	0.015	0.715	0.357	0.500	0.073	0.070	0.058
MIR4417	100616489	1p36.31	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.022	0.047	0.015	0.715	0.357	0.500	0.073	0.070	0.058
MIR4689	100616421	1p36.31	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	-0.022	0.047	0.015	0.715	0.357	0.500	0.073	0.070	0.058
NPHP4	261734	1p36.31	-0.400	0.036	0.113	0.329	0.239	-0.543	0.023	0.018	0.245	0.047	0.015	0.715	0.357	0.500	0.073	0.070	0.058
KCNAB2	8514	1p36.31	-0.400	0.036	0.175	0.329	0.239	-0.543	0.023	0.018	0.157	0.047	0.015	0.715	0.357	0.500	0.073	0.070	0.058
CHD5	26038	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.277	0.015	0.715	0.357	0.500	0.073	0.150	0.058
RPL22	6146	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.330	0.015	0.715	0.357	0.546	0.073	0.426	0.058
RNF207	388591	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.330	0.015	0.715	0.357	0.760	0.073	0.426	0.058
ICMT	23463	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.330	0.015	0.715	0.357	0.772	0.073	0.426	0.058
HES3	390992	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.330	0.015	0.715	0.357	0.772	0.073	0.426	0.058
GPR153	387509	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.330	0.015	0.715	0.357	0.772	0.073	0.426	0.058
ACOT7	11332	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.330	0.015	0.715	0.357	0.772	0.073	0.426	0.058
HES2	54626	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.330	0.015	0.715	0.357	0.772	0.073	0.426	0.058
ESPN	83715	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.330	0.015	0.715	0.357	0.772	0.073	0.426	0.058
MIR4252	100422975	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.330	0.015	0.715	0.357	0.772	0.073	0.426	0.058
hsa-mir-4252	-634	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.330	0.015	0.715	0.357	0.772	0.073	0.426	0.058
TNFRSF25	8718	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.330	0.015	0.715	0.357	0.502	0.073	0.426	0.058
PLEKHG5	57449	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.297	0.015	0.715	0.357	0.456	0.073	0.304	0.058
NOL9	79707	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.106	0.015	0.715	0.357	0.456	0.073	0.042	0.058
TAS1R1	80835	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.106	0.015	0.715	0.357	0.456	0.073	0.042	0.058
ZBTB48	3104	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.106	0.015	0.715	0.357	0.456	0.073	0.042	0.058
KLHL21	9903	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.106	0.015	0.715	0.357	0.456	0.073	0.042	0.058
PHF13	148479	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.041	0.106	0.015	0.715	0.357	0.456	0.073	0.042	0.058
THAP3	90326	1p36.31	-0.400	0.036	0.261	0.329	0.239	-0.543	0.023	0.018	0.019	0.106	0.015	0.715	0.357	0.456	0.073	0.042	0.058
DNAJC11	55735	1p36.31	-0.400	0.036	0.249	0.329	0.239	-0.543	0.023	0.018	-0.217	0.106	0.015	0.715	0.357	0.456	0.073	0.042	0.058
CAMTA1	23261	1p36.31	-0.400	0.036	-0.099	0.329	0.239	-0.543	0.023	0.018	-0.155	0.106	0.015	0.715	0.357	0.456	0.073	0.042	0.058
VAMP3	9341	1p36.23	-0.400	0.036	-0.107	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	0.015	0.715	0.357	0.456	0.073	0.042	0.058
PER3	8863	1p36.23	-0.400	0.036	-0.107	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	0.015	0.715	0.357	0.456	0.019	0.042	0.058
UTS2	10911	1p36.23	-0.400	0.036	-0.061	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	0.015	0.715	0.357	0.456	-0.004	0.042	0.058
TNFRSF9	3604	1p36.23	-0.400	0.036	0.149	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	0.015	0.715	0.357	0.456	-0.004	0.042	0.058
PARK7	11315	1p36.23	-0.400	0.036	0.149	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	0.015	0.715	0.357	0.456	-0.004	0.042	0.058
ERRFI1	54206	1p36.23	-0.400	0.036	0.149	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	0.015	0.715	0.357	0.456	-0.004	0.042	0.058
SLC45A1	50651	1p36.23	-0.400	0.036	0.149	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	0.015	0.715	0.357	0.456	-0.004	0.042	0.058
RERE	473	1p36.23	-0.400	0.036	0.149	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	0.015	0.715	0.357	0.456	-0.004	0.287	0.058
ENO1	2023	1p36.23	-0.400	0.036	0.149	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	0.015	0.715	0.357	0.456	-0.004	0.467	0.058
CA6	765	1p36.23	-0.400	0.036	0.149	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	-0.016	0.715	0.357	0.456	-0.004	0.349	0.058
ENO1-AS1	100505975	1p36.23	-0.400	0.036	0.149	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	0.015	0.715	0.357	0.456	-0.004	0.467	0.058
SLC2A7	155184	1p36.23	-0.400	0.036	0.149	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	-0.501	0.715	0.357	0.456	-0.004	-0.035	0.058
SLC2A5	6518	1p36.23	-0.400	0.036	0.149	0.329	0.239	-0.543	0.023	0.018	0.005	0.106	-0.490	0.715	0.357	0.456	-0.004	-0.035	0.058
