Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	15	41866910	60641398	3877	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	15	60643452	60720888	15	0.324968
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	15	60740346	75557765	3080	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	15	75558045	75595056	50	-0.303170
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	15	75628435	101872236	3314	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	15	102500662	102514556	11	0.484952
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	15	102515368	102518980	11	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	16	667270	1014122	305	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	16	1020984	1032346	11	-0.310769
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	16	1033962	23768906	3913	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	16	23847671	24124392	17	-0.387161
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	16	24135304	28374143	505	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	16	28391203	28411809	28	-0.300570
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	16	28411992	28607253	93	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	16	28617256	28621447	15	0.563744
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	16	29095853	89383486	6626	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	17	982053	4443264	1071	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	17	4444861	4448472	14	0.394361
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	17	4448642	56342337	12351	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	17	56343689	56388576	53	-0.325840
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	17	56390085	76969306	4627	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	17	76970903	77039418	20	0.314769
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	17	77040207	79430843	716	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	17	79477355	79479386	11	0.488751
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	17	79496383	81188180	871	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	18	331666	77108198	5012	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	19	66499	17443837	7777	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	19	17444050	17452514	19	0.326367
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	19	17463179	35597736	2202	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	19	35610155	35633427	36	0.479352
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	19	35640025	58880699	8379	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	20	459306	62203740	8470	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	21	9907492	47681327	3245	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	22	17443621	51237572	5571	0.000000
AC-V01-Tumor-SM-9J45S          	1	12227	11187203	1562	0.000000
AC-V01-Tumor-SM-9J45S          	1	11187865	11194525	12	0.423414
AC-V01-Tumor-SM-9J45S          	1	11199494	12475276	595	0.000000
AC-V01-Tumor-SM-9J45S          	1	12476882	12569080	15	0.395671
AC-V01-Tumor-SM-9J45S          	1	12628455	22913130	1891	0.000000
AC-V01-Tumor-SM-9J45S          	1	22915874	22966006	26	-0.424004
AC-V01-Tumor-SM-9J45S          	1	22974278	32688233	2399	0.000000
AC-V01-Tumor-SM-9J45S          	1	32689724	32792680	45	-0.325037
AC-V01-Tumor-SM-9J45S          	1	32793356	45484990	3243	0.000000
AC-V01-Tumor-SM-9J45S          	1	45485821	45798844	51	-0.302607
AC-V01-Tumor-SM-9J45S          	1	45798998	46348069	176	0.000000
AC-V01-Tumor-SM-9J45S          	1	46597387	46663495	48	0.309100
AC-V01-Tumor-SM-9J45S          	1	46685894	107973539	6030	0.000000
AC-V01-Tumor-SM-9J45S          	1	107979421	108307799	23	0.356124
AC-V01-Tumor-SM-9J45S          	1	108309174	109342929	141	0.000000
AC-V01-Tumor-SM-9J45S          	1	109350173	109445858	49	0.373045
AC-V01-Tumor-SM-9J45S          	1	109446878	150479542	2239	0.000000
AC-V01-Tumor-SM-9J45S          	1	150480757	150485050	13	0.459223
AC-V01-Tumor-SM-9J45S          	1	150485290	153965413	1089	0.000000
AC-V01-Tumor-SM-9J45S          	1	153967658	154125350	64	-0.370684
AC-V01-Tumor-SM-9J45S          	1	154127522	154523482	227	0.000000
AC-V01-Tumor-SM-9J45S          	1	154523970	154528442	18	0.530644
AC-V01-Tumor-SM-9J45S          	1	154531031	154991238	143	0.000000
AC-V01-Tumor-SM-9J45S          	1	154995735	155006179	22	-0.332317
AC-V01-Tumor-SM-9J45S          	1	155006575	155313535	331	0.000000
AC-V01-Tumor-SM-9J45S          	1	155315998	155340776	21	-0.318544
AC-V01-Tumor-SM-9J45S          	1	155348182	156307977	464	0.000000
AC-V01-Tumor-SM-9J45S          	1	156314501	156352662	23	-0.392720
AC-V01-Tumor-SM-9J45S          	1	156354394	156707570	229	0.000000
AC-V01-Tumor-SM-9J45S          	1	156707928	156738033	18	0.382292
AC-V01-Tumor-SM-9J45S          	1	156756968	161176389	1345	0.000000
AC-V01-Tumor-SM-9J45S          	1	161179105	161183985	16	-0.352582
AC-V01-Tumor-SM-9J45S          	1	161185162	178412366	2149	0.000000
AC-V01-Tumor-SM-9J45S          	1	178414799	178490859	41	0.390949
AC-V01-Tumor-SM-9J45S          	1	178494603	201196338	2345	0.000000
AC-V01-Tumor-SM-9J45S          	1	201253034	201297966	24	0.423808
AC-V01-Tumor-SM-9J45S          	1	201328385	226565006	3964	0.000000
AC-V01-Tumor-SM-9J45S          	1	226566977	226578327	17	0.335268
AC-V01-Tumor-SM-9J45S          	1	226580017	228461248	311	0.000000
AC-V01-Tumor-SM-9J45S          	1	228461749	228480487	39	-0.311854
AC-V01-Tumor-SM-9J45S          	1	228481317	232162300	490	0.000000
AC-V01-Tumor-SM-9J45S          	1	232535021	232596909	27	0.421840
AC-V01-Tumor-SM-9J45S          	1	232597980	244627260	1301	0.000000
AC-V01-Tumor-SM-9J45S          	1	244855179	245704252	56	0.460600
AC-V01-Tumor-SM-9J45S          	1	245766085	247769819	163	0.000000
AC-V01-Tumor-SM-9J45S          	2	669677	61149672	6114	0.000000
AC-V01-Tumor-SM-9J45S          	2	61169570	61298929	45	0.348254
AC-V01-Tumor-SM-9J45S          	2	61304295	61391662	44	0.000000
AC-V01-Tumor-SM-9J45S          	2	61406306	61413923	14	0.450172
AC-V01-Tumor-SM-9J45S          	2	61415846	65659123	606	0.000000
AC-V01-Tumor-SM-9J45S          	2	66665095	66798661	22	0.610723
AC-V01-Tumor-SM-9J45S          	2	67624805	74718877	1435	0.000000
AC-V01-Tumor-SM-9J45S          	2	74719184	74734797	29	0.301426
AC-V01-Tumor-SM-9J45S          	2	74742335	131904348	4858	0.000000
AC-V01-Tumor-SM-9J45S          	2	132285919	132290973	15	-0.398229
AC-V01-Tumor-SM-9J45S          	2	133402672	179517428	4707	0.000000
AC-V01-Tumor-SM-9J45S          	2	179519555	179526755	22	-0.435219
AC-V01-Tumor-SM-9J45S          	2	179527343	206592772	3164	0.000000
AC-V01-Tumor-SM-9J45S          	2	206605389	206870257	23	0.495032
AC-V01-Tumor-SM-9J45S          	2	206872165	207008858	34	0.000000
AC-V01-Tumor-SM-9J45S          	2	207009752	207027083	27	0.306345
AC-V01-Tumor-SM-9J45S          	2	207027340	207820290	125	0.000000
AC-V01-Tumor-SM-9J45S          	2	207824467	208461784	38	0.375209
AC-V01-Tumor-SM-9J45S          	2	208478169	213921825	575	0.000000
AC-V01-Tumor-SM-9J45S          	2	214012538	216300527	286	0.775996
AC-V01-Tumor-SM-9J45S          	2	216808180	233164831	2690	0.000000
AC-V01-Tumor-SM-9J45S          	2	233321177	233399054	98	-0.357108
AC-V01-Tumor-SM-9J45S          	2	233401375	242109284	1545	0.000000
AC-V01-Tumor-SM-9J45S          	2	242122240	242169378	39	-0.367339
AC-V01-Tumor-SM-9J45S          	2	242170361	242447873	156	0.000000
AC-V01-Tumor-SM-9J45S          	3	2861267	4744634	139	0.000000
AC-V01-Tumor-SM-9J45S          	3	4748035	5025379	66	0.302410
AC-V01-Tumor-SM-9J45S          	3	5164275	31621590	2560	0.000000
AC-V01-Tumor-SM-9J45S          	3	31641953	32022673	47	0.365765
AC-V01-Tumor-SM-9J45S          	3	32032470	48788853	3620	0.000000
AC-V01-Tumor-SM-9J45S          	3	48789752	48956584	35	-0.316576
AC-V01-Tumor-SM-9J45S          	3	48965248	53815696	2725	0.000000
AC-V01-Tumor-SM-9J45S          	3	53820981	53837601	13	0.618593
AC-V01-Tumor-SM-9J45S          	3	53839175	78663950	1795	0.000000
AC-V01-Tumor-SM-9J45S          	3	78667191	81810704	84	0.312445
AC-V01-Tumor-SM-9J45S          	3	85775700	108572726	1165	0.000000
AC-V01-Tumor-SM-9J45S          	3	109027142	110612209	37	-0.544220
AC-V01-Tumor-SM-9J45S          	3	110789176	123689066	1776	0.000000
AC-V01-Tumor-SM-9J45S          	3	123694389	124045020	27	0.472799
AC-V01-Tumor-SM-9J45S          	3	124053344	145842018	3037	0.000000
AC-V01-Tumor-SM-9J45S          	3	145878778	146309668	38	0.393666
AC-V01-Tumor-SM-9J45S          	3	146311927	183118319	2419	0.000000
AC-V01-Tumor-SM-9J45S          	3	183897955	183907721	48	0.379734
AC-V01-Tumor-SM-9J45S          	3	183908833	184025498	113	0.000000
AC-V01-Tumor-SM-9J45S          	3	184025806	184055506	64	0.362420
AC-V01-Tumor-SM-9J45S          	3	184059605	189456565	657	0.000000
AC-V01-Tumor-SM-9J45S          	3	189526317	189612293	25	0.896803
AC-V01-Tumor-SM-9J45S          	3	189675795	196296173	645	0.000000
AC-V01-Tumor-SM-9J45S          	3	196987130	197273316	18	0.537334
AC-V01-Tumor-SM-9J45S          	3	197418019	197896723	42	0.000000
AC-V01-Tumor-SM-9J45S          	4	1066661	187630981	13681	0.000000
AC-V01-Tumor-SM-9J45S          	5	914578	1344568	29	0.000000
AC-V01-Tumor-SM-9J45S          	5	1344958	1422131	26	-0.341958
AC-V01-Tumor-SM-9J45S          	5	1880837	19747347	894	0.000000
AC-V01-Tumor-SM-9J45S          	5	19839097	23522996	35	-0.407083
AC-V01-Tumor-SM-9J45S          	5	23523469	90669657	5321	0.000000
AC-V01-Tumor-SM-9J45S          	5	90670095	90678911	11	0.402755
AC-V01-Tumor-SM-9J45S          	5	92921194	95159722	312	0.000000
AC-V01-Tumor-SM-9J45S          	5	95192685	96127897	128	0.318151
AC-V01-Tumor-SM-9J45S          	5	96129218	133948448	2559	0.000000
AC-V01-Tumor-SM-9J45S          	5	133956744	134118757	77	-0.406886
AC-V01-Tumor-SM-9J45S          	5	134121278	139740557	976	0.000000
AC-V01-Tumor-SM-9J45S          	5	139740952	139747483	23	0.317167
AC-V01-Tumor-SM-9J45S          	5	139750748	140075788	249	0.000000
AC-V01-Tumor-SM-9J45S          	5	140076201	140080499	15	0.402558
AC-V01-Tumor-SM-9J45S          	5	140081716	154172358	2037	0.000000
AC-V01-Tumor-SM-9J45S          	5	154173285	154185594	22	0.439744
AC-V01-Tumor-SM-9J45S          	5	154190918	155820816	105	0.000000
AC-V01-Tumor-SM-9J45S          	5	155935712	156673011	88	-0.347664
AC-V01-Tumor-SM-9J45S          	5	156676019	156908012	74	0.000000
AC-V01-Tumor-SM-9J45S          	5	156908953	156929990	21	-0.456075
AC-V01-Tumor-SM-9J45S          	5	156932818	166712068	458	0.000000
AC-V01-Tumor-SM-9J45S          	5	166802478	167626119	31	0.319725
AC-V01-Tumor-SM-9J45S          	5	167627136	172387046	561	0.000000
AC-V01-Tumor-SM-9J45S          	5	172395604	172537716	22	-0.333301
AC-V01-Tumor-SM-9J45S          	5	172571634	176719161	435	0.000000
AC-V01-Tumor-SM-9J45S          	5	176722462	176731080	14	0.416724
AC-V01-Tumor-SM-9J45S          	5	176731595	179028989	537	0.000000
AC-V01-Tumor-SM-9J45S          	5	179032927	179048038	18	0.567437
AC-V01-Tumor-SM-9J45S          	5	179048400	180017840	286	0.000000
AC-V01-Tumor-SM-9J45S          	5	180030392	180058780	59	-0.324643
AC-V01-Tumor-SM-9J45S          	5	180275791	180795228	14	0.000000
AC-V01-Tumor-SM-9J45S          	6	1101507	9933181	625	0.000000
AC-V01-Tumor-SM-9J45S          	6	9933543	10415224	21	0.429513
AC-V01-Tumor-SM-9J45S          	6	10430489	33148949	2323	0.000000
AC-V01-Tumor-SM-9J45S          	6	33152103	33179328	60	0.315396
AC-V01-Tumor-SM-9J45S          	6	33180178	33255284	56	0.000000
AC-V01-Tumor-SM-9J45S          	6	33255497	33262541	30	0.396852
AC-V01-Tumor-SM-9J45S          	6	33262824	36106561	793	0.000000
AC-V01-Tumor-SM-9J45S          	6	36106834	36238441	24	0.304181
AC-V01-Tumor-SM-9J45S          	6	36259332	36931390	192	0.000000
AC-V01-Tumor-SM-9J45S          	6	36936752	36953951	25	0.504083
AC-V01-Tumor-SM-9J45S          	6	36973663	37440265	127	0.000000
AC-V01-Tumor-SM-9J45S          	6	37442424	37622708	58	0.367536
AC-V01-Tumor-SM-9J45S          	6	37623672	42976967	955	0.000000
AC-V01-Tumor-SM-9J45S          	6	42977189	42986459	30	0.423807
AC-V01-Tumor-SM-9J45S          	6	42986711	43011370	32	-0.344909
AC-V01-Tumor-SM-9J45S          	6	43013142	43550880	454	0.000000
AC-V01-Tumor-SM-9J45S          	6	43555228	43582296	15	-0.356321
AC-V01-Tumor-SM-9J45S          	6	43589253	50786687	769	0.000000
AC-V01-Tumor-SM-9J45S          	6	50789873	51514020	24	0.330743
AC-V01-Tumor-SM-9J45S          	6	51524769	52360583	191	0.000000
AC-V01-Tumor-SM-9J45S          	6	52368070	52380922	11	0.604624
AC-V01-Tumor-SM-9J45S          	6	52381537	125234005	5388	0.000000
AC-V01-Tumor-SM-9J45S          	6	125269244	126278326	84	0.379144
AC-V01-Tumor-SM-9J45S          	6	126288152	139164370	1420	0.000000
AC-V01-Tumor-SM-9J45S          	6	139165719	139208061	25	-0.367142
AC-V01-Tumor-SM-9J45S          	6	139222259	152382261	1178	0.000000
AC-V01-Tumor-SM-9J45S          	6	152415705	152453351	13	0.534579
AC-V01-Tumor-SM-9J45S          	6	152454625	170892837	1916	0.000000
AC-V01-Tumor-SM-9J45S          	7	716864	26765607	2407	0.000000
AC-V01-Tumor-SM-9J45S          	7	26778499	27222649	46	0.436399
AC-V01-Tumor-SM-9J45S          	7	27224765	40535985	1296	0.000000
AC-V01-Tumor-SM-9J45S          	7	40538782	42262854	37	0.378357
AC-V01-Tumor-SM-9J45S          	7	43351227	45753596	730	0.000000
AC-V01-Tumor-SM-9J45S          	7	45928602	47596718	84	0.381112
AC-V01-Tumor-SM-9J45S          	7	47698356	70228329	855	0.000000
AC-V01-Tumor-SM-9J45S          	7	70229993	70255984	23	0.828939
AC-V01-Tumor-SM-9J45S          	7	70598028	78150964	1338	0.000000
AC-V01-Tumor-SM-9J45S          	7	79082638	80817246	85	0.407083
AC-V01-Tumor-SM-9J45S          	7	81332075	99687410	2116	0.000000
AC-V01-Tumor-SM-9J45S          	7	99688112	99697718	43	0.452730
AC-V01-Tumor-SM-9J45S          	7	99699397	100473335	651	0.000000
AC-V01-Tumor-SM-9J45S          	7	100479036	100486894	32	0.499967
AC-V01-Tumor-SM-9J45S          	7	100487958	113559053	1459	0.000000
AC-V01-Tumor-SM-9J45S          	7	114055051	114655991	51	-0.654599
AC-V01-Tumor-SM-9J45S          	7	115580987	151135332	4154	0.000000
AC-V01-Tumor-SM-9J45S          	7	151174417	151265930	24	0.441531
AC-V01-Tumor-SM-9J45S          	7	151267313	158282479	578	0.000000
AC-V01-Tumor-SM-9J45S          	8	29093	66621281	5420	0.000000
AC-V01-Tumor-SM-9J45S          	8	66631732	67039673	39	0.442302
AC-V01-Tumor-SM-9J45S          	8	67040713	81903767	1058	0.000000
AC-V01-Tumor-SM-9J45S          	8	82192911	82598150	48	0.389179
AC-V01-Tumor-SM-9J45S          	8	82607209	114612667	2477	0.000000
AC-V01-Tumor-SM-9J45S          	8	116427314	120118432	156	0.321495
AC-V01-Tumor-SM-9J45S          	8	120233997	124518816	493	0.000000
AC-V01-Tumor-SM-9J45S          	8	124525624	124796818	33	0.476144
AC-V01-Tumor-SM-9J45S          	8	124798852	126085568	227	0.000000
AC-V01-Tumor-SM-9J45S          	8	126087355	131138337	83	0.326808
AC-V01-Tumor-SM-9J45S          	8	131140338	134147040	389	0.000000
AC-V01-Tumor-SM-9J45S          	8	134203458	134488269	45	0.440531
AC-V01-Tumor-SM-9J45S          	8	135490964	145235426	1030	0.000000
AC-V01-Tumor-SM-9J45S          	9	14940	131776784	11041	0.000000
AC-V01-Tumor-SM-9J45S          	9	131784704	131832734	30	-0.390359
AC-V01-Tumor-SM-9J45S          	9	131847049	134109025	640	0.000000
AC-V01-Tumor-SM-9J45S          	9	134136739	134305646	19	-0.614265
AC-V01-Tumor-SM-9J45S          	9	134308181	141124256	2456	0.000000
AC-V01-Tumor-SM-9J45S          	10	415432	96447691	8305	0.000000
AC-V01-Tumor-SM-9J45S          	10	96448033	96818270	53	-0.332317
AC-V01-Tumor-SM-9J45S          	10	96824719	99201018	558	0.000000
AC-V01-Tumor-SM-9J45S          	10	99205606	99214558	14	0.417708
AC-V01-Tumor-SM-9J45S          	10	99215542	103827561	1169	0.000000
AC-V01-Tumor-SM-9J45S          	10	103868082	103908697	38	0.361043
AC-V01-Tumor-SM-9J45S          	10	103909788	114205196	1178	0.000000
AC-V01-Tumor-SM-9J45S          	10	114207227	115327286	53	0.310871
AC-V01-Tumor-SM-9J45S          	10	115337027	135126372	2440	0.000000
AC-V01-Tumor-SM-9J45S          	10	135138209	135170761	30	-0.402361
AC-V01-Tumor-SM-9J45S          	10	135176439	135215751	38	0.000000
AC-V01-Tumor-SM-9J45S          	11	131373	194452	11	0.000000
AC-V01-Tumor-SM-9J45S          	11	197415	5863182	1573	-0.506050
AC-V01-Tumor-SM-9J45S          	11	5968575	56757320	5322	0.000000
AC-V01-Tumor-SM-9J45S          	11	56805742	57137472	61	0.335422
AC-V01-Tumor-SM-9J45S          	11	57145311	60643131	722	0.000000
AC-V01-Tumor-SM-9J45S          	11	60658262	60671009	26	0.323266
AC-V01-Tumor-SM-9J45S          	11	60671335	77047329	5121	0.000000
AC-V01-Tumor-SM-9J45S          	11	77051810	77070064	13	0.494048
AC-V01-Tumor-SM-9J45S          	11	77103567	93462947	984	0.000000
AC-V01-Tumor-SM-9J45S          	11	93463135	93471667	18	0.410034
AC-V01-Tumor-SM-9J45S          	11	93474661	93583668	46	0.000000
AC-V01-Tumor-SM-9J45S          	11	93779083	134134856	5288	-0.771274
AC-V01-Tumor-SM-9J45S          	12	78939	6634884	1031	0.000000
AC-V01-Tumor-SM-9J45S          	12	6635368	6645761	21	0.420266
AC-V01-Tumor-SM-9J45S          	12	6645958	6673112	42	0.000000
AC-V01-Tumor-SM-9J45S          	12	6675502	6707593	56	-0.304771
AC-V01-Tumor-SM-9J45S          	12	6709180	49227304	4860	0.000000
AC-V01-Tumor-SM-9J45S          	12	49228282	49239567	23	-0.425639
AC-V01-Tumor-SM-9J45S          	12	49252026	49397380	69	0.000000
AC-V01-Tumor-SM-9J45S          	12	49398418	49406895	13	-0.338613
AC-V01-Tumor-SM-9J45S          	12	49410963	49446492	89	0.000000
AC-V01-Tumor-SM-9J45S          	12	49446855	49459216	15	0.320512
AC-V01-Tumor-SM-9J45S          	12	49460063	52886974	1117	0.000000
AC-V01-Tumor-SM-9J45S          	12	52909026	52912946	17	0.353173
AC-V01-Tumor-SM-9J45S          	12	52914082	54651436	637	0.000000
AC-V01-Tumor-SM-9J45S          	12	54674608	54678435	22	0.436793
AC-V01-Tumor-SM-9J45S          	12	54687167	56600584	743	0.000000
AC-V01-Tumor-SM-9J45S          	12	56601535	56630532	31	-0.312248
AC-V01-Tumor-SM-9J45S          	12	56630797	56638581	15	0.000000
AC-V01-Tumor-SM-9J45S          	12	56638773	56642350	13	-0.356321
AC-V01-Tumor-SM-9J45S          	12	56645879	56667040	38	0.000000
AC-V01-Tumor-SM-9J45S          	12	56667582	56716544	47	-0.301820
AC-V01-Tumor-SM-9J45S          	12	56716995	56980712	193	0.000000
AC-V01-Tumor-SM-9J45S          	12	56982160	56995976	22	0.324447
AC-V01-Tumor-SM-9J45S          	12	56996641	57909936	571	0.000000
AC-V01-Tumor-SM-9J45S          	12	57910123	57922794	27	0.342745
AC-V01-Tumor-SM-9J45S          	12	57925889	57944185	37	0.000000
AC-V01-Tumor-SM-9J45S          	12	57957311	57969542	28	-0.364781
AC-V01-Tumor-SM-9J45S          	12	57969936	59266600	333	0.000000
AC-V01-Tumor-SM-9J45S          	12	59268114	59314018	28	0.353763
AC-V01-Tumor-SM-9J45S          	12	59917236	110777528	5648	0.000000
AC-V01-Tumor-SM-9J45S          	12	110778801	110812140	16	0.431677
AC-V01-Tumor-SM-9J45S          	12	110814023	111655743	206	0.000000
AC-V01-Tumor-SM-9J45S          	12	111701645	111799783	37	-0.391736
AC-V01-Tumor-SM-9J45S          	12	111801267	133810942	3831	0.000000
AC-V01-Tumor-SM-9J45S          	13	19748301	20656270	65	0.000000
AC-V01-Tumor-SM-9J45S          	13	20657172	21166545	21	0.336645
AC-V01-Tumor-SM-9J45S          	13	21172894	46627935	2524	0.000000
AC-V01-Tumor-SM-9J45S          	13	46632518	46718657	27	-0.325430
AC-V01-Tumor-SM-9J45S          	13	46721240	114897966	3396	0.000000
AC-V01-Tumor-SM-9J45S          	14	20502001	21702354	376	0.000000
AC-V01-Tumor-SM-9J45S          	14	21756220	21819375	46	-0.413182
AC-V01-Tumor-SM-9J45S          	14	21820979	24634392	1001	0.000000
AC-V01-Tumor-SM-9J45S          	14	24635173	24646591	17	-0.328972
AC-V01-Tumor-SM-9J45S          	14	24647880	51411123	2259	0.000000
AC-V01-Tumor-SM-9J45S          	14	51446269	52187173	57	0.563896
AC-V01-Tumor-SM-9J45S          	14	52188800	74156220	3094	0.000000
