rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
28	CYP3A43	cytochrome P450, family 3, subfamily A, polypeptide 43	1564	1000	0	0	2	0	0	0	2	2	1	8.351016e-03	1.000000e-02	1.918000e-01	8.677159e-04	5.650628e-01
29	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	4709	34	0	0	0	2	0	0	2	2	1	6.031941e-03	5.600000e-02	1.160000e-01	9.328751e-04	5.650628e-01
30	LRRC59	leucine rich repeat containing 59	948	1000	0	0	2	0	0	0	2	2	1	9.063119e-03	4.360000e-02	2.210000e-01	9.427229e-04	5.650628e-01
31	PPAP2C	phosphatidic acid phosphatase type 2C	1007	415	0	0	2	0	0	0	2	2	1	9.449538e-03	1.000000e-02	5.390000e-01	9.701803e-04	5.650628e-01
32	GNB2	guanine nucleotide binding protein (G protein), beta polypeptide 2	1059	1000	0	0	2	0	0	0	2	2	1	3.527328e-03	2.800000e-02	8.790000e-01	1.009653e-03	5.650628e-01
33	MORC1	MORC family CW-type zinc finger 1	3065	166	0	0	0	0	2	0	2	2	1	1.013285e-02	1.345000e-02	1.000000e-02	1.033261e-03	5.650628e-01
34	GAN	giant axonal neuropathy (gigaxonin)	1834	999	0	0	2	0	0	0	2	2	1	5.222319e-03	2.020000e-02	6.722000e-01	1.071459e-03	5.650628e-01
35	TMED8	transmembrane emp24 protein transport domain containing 8	2567	207	0	0	2	0	0	0	2	2	1	1.110145e-02	1.000000e-02	1.757000e-01	1.121896e-03	5.650628e-01
36	USP15	ubiquitin specific peptidase 15	2941	51	0	0	2	0	0	0	2	2	1	2.418489e-03	4.600000e-02	7.450000e-01	1.124045e-03	5.650628e-01
37	PLEKHG2	pleckstrin homology domain containing, family G (with RhoGef domain) member 2	4233	30	0	0	0	0	2	0	2	2	1	5.963767e-03	1.900000e-02	3.030000e-01	1.142789e-03	5.650628e-01
38	OR10A7	olfactory receptor, family 10, subfamily A, member 7	950	231	0	0	2	0	0	0	2	2	1	1.036747e-02	1.000000e-02	9.148000e-01	1.177620e-03	5.669619e-01
39	PLEKHA7	pleckstrin homology domain containing, family A member 7	3456	154	0	0	2	0	0	0	2	2	1	1.264389e-02	1.020000e-02	6.585000e-01	1.261323e-03	5.830821e-01
40	SLC5A1	solute carrier family 5 (sodium/glucose cotransporter), member 1	2051	313	0	0	2	0	0	0	2	2	1	5.117854e-03	2.500000e-02	9.100000e-01	1.274845e-03	5.830821e-01
41	GALR1	galanin receptor 1	1058	1000	0	0	1	2	0	0	3	2	3	1.280003e-02	1.120000e-02	3.710000e-01	1.412120e-03	6.301156e-01
42	CUBN	cubilin (intrinsic factor-cobalamin receptor)	11138	7	0	0	3	0	0	0	3	3	2	1.647655e-01	1.000000e-03	6.735333e-01	1.600036e-03	6.969680e-01
43	JAK3	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	3467	110	0	0	0	1	0	0	1	1	1	1.734343e-03	NaN	NaN	1.734343e-03	7.379027e-01
44	MMRN1	multimerin 1	3717	133	0	0	2	0	0	0	2	2	1	1.962742e-02	1.000000e-02	9.968000e-01	1.871671e-03	7.682994e-01
45	TP53	tumor protein p53	1890	317	0	0	2	0	0	0	2	2	1	1.983968e-02	1.480000e-02	1.000000e-02	1.889777e-03	7.682994e-01
46	MRPS18B	mitochondrial ribosomal protein S18B	801	381	0	0	2	0	0	0	2	2	1	1.008111e-02	4.530000e-02	2.876000e-01	2.053870e-03	8.151336e-01
47	RBL1	retinoblastoma-like 1 (p107)	3300	83	0	0	2	0	0	0	2	2	1	2.225273e-02	1.000000e-02	9.495000e-01	2.094085e-03	8.151336e-01
48	FOXP1	forkhead box P1	2267	293	0	0	2	0	0	0	2	2	1	2.303243e-02	1.000000e-02	9.956000e-01	2.159525e-03	8.230941e-01
49	SLITRK5	SLIT and NTRK-like family, member 5	2881	40	0	0	2	0	0	0	2	2	1	1.903716e-02	1.240000e-02	9.820000e-01	2.207504e-03	8.242100e-01
50	HMG20A	high-mobility group 20A	1080	1000	0	0	2	0	0	0	2	2	1	4.156540e-03	6.000000e-02	1	2.318472e-03	8.483289e-01
51	CGNL1	cingulin-like 1	3981	105	0	0	2	0	0	0	2	2	1	2.128932e-02	1.470000e-02	9.569000e-01	2.872643e-03	1
52	TMPRSS11A	transmembrane protease, serine 11A	1302	458	0	0	0	2	0	0	2	2	1	1.055124e-02	3.100000e-02	7.010000e-01	3.120753e-03	1
53	HCN4	hyperpolarization activated cyclic nucleotide-gated potassium channel 4	3640	112	0	0	2	0	0	0	2	2	1	3.891355e-02	1.000000e-02	8.211000e-01	3.444465e-03	1
54	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	1941	15	0	0	0	0	0	1	1	1	1	3.725323e-03	NaN	NaN	3.725323e-03	1
55	SYMPK	symplekin	3929	13	0	0	2	0	0	0	2	2	1	3.454504e-02	1.380000e-02	4.595000e-01	4.122963e-03	1
56	TRIP10	thyroid hormone receptor interactor 10	1712	198	0	0	1	1	0	0	2	1	2	4.926331e-02	1.000000e-02	9.123000e-01	4.244402e-03	1
57	ZNF430	zinc finger protein 430	1729	306	0	0	3	0	0	0	3	3	2	4.123458e-02	1.150000e-02	9.684000e-01	4.448715e-03	1
58	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	2471	4	0	0	0	0	0	1	1	1	1	4.752038e-03	NaN	NaN	4.752038e-03	1
59	RGS13	regulator of G-protein signaling 13	496	47	0	0	0	1	0	0	1	1	1	5.100540e-03	NaN	NaN	5.100540e-03	1
60	TMEM200A	transmembrane protein 200A	1480	405	0	0	2	0	0	0	2	2	1	1.050483e-02	5.800000e-02	4.200000e-01	5.119923e-03	1
61	LIPN	lipase, family member N	1227	1000	0	0	2	0	0	0	2	2	2	7.783399e-03	1	7.300000e-02	5.333632e-03	1
62	RAD54L2	RAD54-like 2 (S. cerevisiae)	4488	27	0	0	2	0	0	0	2	2	1	3.377868e-02	1.840000e-02	4.090000e-02	5.334944e-03	1
63	PTPRR	protein tyrosine phosphatase, receptor type, R	2028	31	0	0	2	0	0	0	2	2	1	1.801914e-02	3.400000e-02	5.410000e-01	5.410429e-03	1
64	NOP14	NOP14 nucleolar protein homolog (yeast)	2648	16	0	0	2	0	0	0	2	2	1	6.540924e-02	1.000000e-02	2.621000e-01	5.450069e-03	1
65	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2346	139	0	0	0	0	0	1	1	1	1	5.571210e-03	NaN	NaN	5.571210e-03	1
66	CDV3	CDV3 homolog (mouse)	811	89	0	0	0	1	0	0	1	1	1	5.726215e-03	NaN	NaN	5.726215e-03	1
67	SCN8A	sodium channel, voltage gated, type VIII, alpha subunit	6047	58	0	1	2	0	0	0	2	2	1	6.978169e-02	1.000000e-02	2.511000e-01	5.769239e-03	1
68	GUCY2C	guanylate cyclase 2C (heat stable enterotoxin receptor)	3326	16	0	0	2	1	0	0	3	3	3	7.015562e-04	1	7.180000e-01	5.796404e-03	1
69	SULF1	sulfatase 1	2692	35	0	0	2	0	0	0	2	2	1	7.275221e-02	1.000000e-02	1.446000e-01	5.984500e-03	1
70	GLOD5	glyoxalase domain containing 5	497	83	0	0	0	0	1	0	1	1	1	6.076950e-03	NaN	NaN	6.076950e-03	1
71	SNX32	sorting nexin 32	1260	87	0	0	0	0	0	1	1	1	1	6.273609e-03	NaN	NaN	6.273609e-03	1
72	ZNF750	zinc finger protein 750	2176	171	0	0	0	0	0	2	2	2	2	7.772616e-04	1	7.340000e-01	6.342247e-03	1
73	DENND5B	DENN/MADD domain containing 5B	3905	65	0	0	2	0	0	0	2	2	1	7.807892e-02	1.000000e-02	3.776000e-01	6.367496e-03	1
74	CDH23	cadherin-like 23	10753	18	0	0	1	0	1	0	2	2	2	6.537705e-03	NaN	NaN	6.537705e-03	1
75	LRRC1	leucine rich repeat containing 1	1627	54	0	0	0	0	0	1	1	1	1	6.959584e-03	NaN	NaN	6.959584e-03	1
76	NOL4	nucleolar protein 4	1957	455	0	0	3	0	0	0	3	3	2	2.896804e-02	2.800000e-02	4.530000e-01	6.994147e-03	1
77	MUC4	mucin 4, cell surface associated	6353	59	0	0	2	1	0	0	3	2	3	7.123209e-03	NaN	NaN	7.123209e-03	1
78	MTHFD1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	2916	59	0	0	0	1	0	0	1	1	1	7.297054e-03	NaN	NaN	7.297054e-03	1
79	GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	1703	61	0	0	0	0	1	0	1	1	1	7.560602e-03	NaN	NaN	7.560602e-03	1
80	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	3677	6	0	0	0	1	0	0	1	1	1	7.563025e-03	NaN	NaN	7.563025e-03	1
81	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	121	0	0	2	0	0	0	2	2	2	9.702314e-04	1	8.450000e-01	7.701673e-03	1
82	TTF1	transcription termination factor, RNA polymerase I	2758	132	0	0	2	0	0	0	2	2	2	2.987989e-03	1	2.920000e-01	8.161514e-03	1
83	UBE4A	ubiquitination factor E4A (UFD2 homolog, yeast)	3298	251	0	0	0	0	1	0	1	1	1	8.767451e-03	NaN	NaN	8.767451e-03	1
84	MOCS1	molybdenum cofactor synthesis 1	1320	495	0	0	2	0	0	0	2	2	1	8.792981e-03	NaN	NaN	8.792981e-03	1
85	SIT1	signaling threshold regulating transmembrane adaptor 1	609	101	0	0	0	0	1	0	1	1	1	9.131633e-03	NaN	NaN	9.131633e-03	1
86	C12orf36	chromosome 12 open reading frame 36	425	172	0	0	0	1	0	0	1	1	1	9.192074e-03	NaN	NaN	9.192074e-03	1
87	SPAG7	sperm associated antigen 7	1546	632	0	0	2	0	0	0	2	2	2	2.233259e-02	1	2.000000e-02	9.907702e-03	1
88	CACNA1I	calcium channel, voltage-dependent, T type, alpha 1I subunit	6816	7	0	0	2	0	0	0	2	2	1	1.125377e-01	1.070000e-02	9.101000e-01	9.975129e-03	1
89	ARHGAP5	Rho GTPase activating protein 5	4529	30	0	0	0	1	0	0	1	1	1	1.001277e-02	NaN	NaN	1.001277e-02	1
90	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	1083	44	0	0	0	1	0	0	1	1	1	1.008604e-02	NaN	NaN	1.008604e-02	1
91	DHPS	deoxyhypusine synthase	1146	152	0	0	0	0	0	1	1	1	1	1.033901e-02	NaN	NaN	1.033901e-02	1
92	DMRTC2	DMRT-like family C2	1136	335	0	0	2	0	0	0	2	1	2	1.371003e-01	1.000000e-02	1.000000e-02	1.040894e-02	1
93	TNP1	transition protein 1 (during histone to protamine replacement)	174	21	0	0	1	0	0	0	1	1	1	1.047775e-02	NaN	NaN	1.047775e-02	1
94	STT3B	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)	2539	45	0	0	0	1	0	0	1	1	1	1.049219e-02	NaN	NaN	1.049219e-02	1
95	FAM65C	family with sequence similarity 65, member C	2925	32	0	0	0	0	1	0	1	1	1	1.066212e-02	NaN	NaN	1.066212e-02	1
96	ZNF33B	zinc finger protein 33B	2353	16	0	1	2	0	0	0	2	2	1	1.412163e-01	1.000000e-02	4.880000e-02	1.067967e-02	1
97	DBF4B	DBF4 homolog B (S. cerevisiae)	1943	373	0	0	0	1	0	0	1	1	1	1.089274e-02	NaN	NaN	1.089274e-02	1
98	ANKRD27	ankyrin repeat domain 27 (VPS9 domain)	3504	4	0	0	0	1	0	0	1	1	1	1.234556e-02	NaN	NaN	1.234556e-02	1
99	SFT2D2	SFT2 domain containing 2	513	210	0	0	0	0	0	1	1	1	1	1.294419e-02	NaN	NaN	1.294419e-02	1
100	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	1807	553	0	0	0	0	1	0	1	1	1	1.327882e-02	NaN	NaN	1.327882e-02	1
101	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	2475	452	0	0	0	0	2	0	2	2	1	1.843455e-03	4.260000e-01	1	1.345006e-02	1
102	TAF5L	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	1919	350	0	0	3	0	0	0	3	3	3	1.868810e-03	1	3.640000e-01	1.360952e-02	1
103	ZNF441	zinc finger protein 441	2094	38	0	0	0	0	1	0	1	1	1	1.388846e-02	NaN	NaN	1.388846e-02	1
104	DHX29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	4309	72	0	0	1	0	1	0	2	2	2	1.935006e-03	1	7.740000e-01	1.402423e-02	1
105	TTBK2	tau tubulin kinase 2	3791	52	0	0	0	1	0	0	1	1	1	1.402736e-02	NaN	NaN	1.402736e-02	1
106	WDR3	WD repeat domain 3	2936	160	0	0	0	1	0	0	1	1	1	1.403822e-02	NaN	NaN	1.403822e-02	1
107	HSD17B11	hydroxysteroid (17-beta) dehydrogenase 11	927	68	0	0	1	0	0	0	1	1	1	1.427213e-02	NaN	NaN	1.427213e-02	1
108	ZDHHC14	zinc finger, DHHC-type containing 14	1499	154	0	0	0	0	1	0	1	1	1	1.441992e-02	NaN	NaN	1.441992e-02	1
109	ZNF395	zinc finger protein 395	1578	52	0	0	1	0	0	0	1	1	1	1.464134e-02	NaN	NaN	1.464134e-02	1
110	COL22A1	collagen, type XXII, alpha 1	5137	5	0	0	2	0	0	0	2	2	1	2.071856e-01	1.240000e-02	4.001000e-01	1.487450e-02	1
111	EMP2	epithelial membrane protein 2	520	439	0	0	1	0	0	0	1	1	1	1.526082e-02	NaN	NaN	1.526082e-02	1
112	IQCG	IQ motif containing G	1934	904	0	0	2	0	0	0	2	2	2	1.673291e-02	1	7.500000e-02	1.561356e-02	1
113	CAMK1	calcium/calmodulin-dependent protein kinase I	1416	136	0	0	1	1	0	0	2	2	2	2.205645e-03	1	3.710000e-01	1.569699e-02	1
114	IQCH	IQ motif containing H	3293	19	0	0	0	1	0	0	1	1	1	1.638863e-02	NaN	NaN	1.638863e-02	1
115	INTS6	integrator complex subunit 6	2910	26	0	0	0	1	0	0	1	1	1	1.639978e-02	NaN	NaN	1.639978e-02	1
116	SNX9	sorting nexin 9	1856	1000	0	0	2	0	0	0	2	2	2	2.397136e-03	1	8.670000e-01	1.686021e-02	1
117	ANAPC13	anaphase promoting complex subunit 13	233	80	0	0	0	1	0	0	1	1	1	1.715403e-02	NaN	NaN	1.715403e-02	1
118	ACOX3	acyl-Coenzyme A oxidase 3, pristanoyl	2171	20	0	0	0	0	1	0	1	1	1	1.746029e-02	NaN	NaN	1.746029e-02	1
119	FIP1L1	FIP1 like 1 (S. cerevisiae)	1884	42	0	0	0	0	1	0	1	1	1	1.798601e-02	NaN	NaN	1.798601e-02	1
120	C19orf53	chromosome 19 open reading frame 53	461	238	0	0	0	0	0	1	1	1	1	1.804017e-02	NaN	NaN	1.804017e-02	1
121	NFIX	nuclear factor I/X (CCAAT-binding transcription factor)	1364	324	0	0	0	0	0	1	1	1	1	1.818344e-02	NaN	NaN	1.818344e-02	1
122	EFCAB5	EF-hand calcium binding domain 5	4766	116	0	0	0	1	0	0	1	1	1	1.843156e-02	NaN	NaN	1.843156e-02	1
123	SPCS3	signal peptidase complex subunit 3 homolog (S. cerevisiae)	559	222	0	0	1	0	0	0	1	1	1	1.879896e-02	NaN	NaN	1.879896e-02	1
124	PDDC1	Parkinson disease 7 domain containing 1	693	100	0	0	1	0	0	0	1	1	1	1.883288e-02	NaN	NaN	1.883288e-02	1
125	METTL5	methyltransferase like 5	695	1000	0	0	1	0	0	0	1	1	1	1.915709e-02	NaN	NaN	1.915709e-02	1
126	MRPS27	mitochondrial ribosomal protein S27	1495	1000	0	0	2	0	0	0	2	2	2	1.927647e-02	NaN	NaN	1.927647e-02	1
127	TCF12	transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	2278	21	0	0	0	1	0	0	1	1	1	1.932518e-02	NaN	NaN	1.932518e-02	1
128	VAV2	vav 2 guanine nucleotide exchange factor	2755	10	0	0	0	1	0	0	1	1	1	1.957399e-02	NaN	NaN	1.957399e-02	1
129	OR4D1	olfactory receptor, family 4, subfamily D, member 1	931	1000	0	0	0	0	0	1	1	1	1	1.970371e-02	NaN	NaN	1.970371e-02	1
130	PRKCQ	protein kinase C, theta	2189	234	0	0	0	0	1	0	1	1	1	1.992388e-02	NaN	NaN	1.992388e-02	1
131	VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C	752	73	0	0	0	0	1	0	1	1	1	1.993900e-02	NaN	NaN	1.993900e-02	1
132	EPHA2	EPH receptor A2	2995	72	0	0	0	0	1	0	1	1	1	2.019090e-02	NaN	NaN	2.019090e-02	1
133	CDKAL1	CDK5 regulatory subunit associated protein 1-like 1	1796	87	0	0	1	0	0	0	1	1	1	2.033836e-02	NaN	NaN	2.033836e-02	1
134	SLC25A39	solute carrier family 25, member 39	1124	160	0	0	0	0	1	0	1	1	1	2.056688e-02	NaN	NaN	2.056688e-02	1
135	LYRM2	LYR motif containing 2	277	34	0	0	1	0	0	0	1	1	1	2.067911e-02	NaN	NaN	2.067911e-02	1
136	MOGAT2	monoacylglycerol O-acyltransferase 2	1024	466	0	0	1	0	0	0	1	1	1	2.137529e-02	NaN	NaN	2.137529e-02	1
137	MARCH6	membrane-associated ring finger (C3HC4) 6	2833	61	0	0	0	1	0	0	1	1	1	2.219201e-02	NaN	NaN	2.219201e-02	1
138	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	4265	29	0	0	0	1	0	0	1	1	1	2.219978e-02	NaN	NaN	2.219978e-02	1
139	OR6C74	olfactory receptor, family 6, subfamily C, member 74	938	229	0	0	1	0	0	0	1	1	1	2.231337e-02	NaN	NaN	2.231337e-02	1
140	POLR3A	polymerase (RNA) III (DNA directed) polypeptide A, 155kDa	4293	81	0	0	2	0	0	0	2	1	2	3.476417e-01	1.000000e-02	6.204000e-01	2.315903e-02	1
141	MYO18B	myosin XVIIIB	7872	7	0	0	2	0	0	0	2	2	1	3.489390e-01	1.000000e-02	6.360000e-01	2.323246e-02	1
142	RTKN2	rhotekin 2	1876	349	0	0	0	1	0	0	1	1	1	2.326283e-02	NaN	NaN	2.326283e-02	1
143	THEG	Theg homolog (mouse)	1170	66	0	0	0	0	1	0	1	1	1	2.384471e-02	NaN	NaN	2.384471e-02	1
144	ZNF184	zinc finger protein 184	2272	221	0	0	2	0	0	0	2	2	2	4.104585e-02	1	2.500000e-02	2.392426e-02	1
145	FOXRED1	FAD-dependent oxidoreductase domain containing 1	2447	3	0	0	2	0	0	0	2	2	1	3.617471e-01	1.000000e-02	4.355000e-01	2.395482e-02	1
146	BAZ2B	bromodomain adjacent to zinc finger domain, 2B	6647	19	0	0	0	1	0	0	1	1	1	2.396685e-02	NaN	NaN	2.396685e-02	1
147	MAPK1	mitogen-activated protein kinase 1	1115	1000	0	0	1	0	0	0	1	1	1	2.434726e-02	NaN	NaN	2.434726e-02	1
148	LIMA1	LIM domain and actin binding 1	2323	145	0	0	2	0	0	0	2	2	2	5.172815e-02	1	5.400000e-02	2.455456e-02	1
149	ATG2B	ATG2 autophagy related 2 homolog B (S. cerevisiae)	6401	0	0	0	0	0	1	0	1	1	1	2.496038e-02	NaN	NaN	2.496038e-02	1
150	PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	2050	511	0	0	0	0	0	1	1	1	1	2.507892e-02	NaN	NaN	2.507892e-02	1
151	POLR3B	polymerase (RNA) III (DNA directed) polypeptide B	3510	60	0	0	0	1	0	0	1	1	1	2.546642e-02	NaN	NaN	2.546642e-02	1
152	KIF24	kinesin family member 24	4155	12	0	0	2	0	0	0	2	2	1	3.900880e-01	1.000000e-02	6.600000e-01	2.553732e-02	1
153	TRIM59	tripartite motif-containing 59	1216	1000	0	0	0	1	0	0	1	1	1	2.561837e-02	NaN	NaN	2.561837e-02	1
154	HLA-B	major histocompatibility complex, class I, B	1119	553	0	0	0	0	0	1	1	1	1	2.577550e-02	NaN	NaN	2.577550e-02	1
155	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	2149	90	0	0	0	0	1	0	1	1	1	2.579627e-02	NaN	NaN	2.579627e-02	1
156	MCOLN2	mucolipin 2	1753	10	0	0	0	1	0	0	1	1	1	2.579710e-02	NaN	NaN	2.579710e-02	1
157	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	2831	22	0	0	0	1	0	0	1	1	1	2.598446e-02	NaN	NaN	2.598446e-02	1
158	CRIPAK	cysteine-rich PAK1 inhibitor	1341	918	0	0	1	0	0	0	1	1	1	2.620464e-02	NaN	NaN	2.620464e-02	1
159	SEMA6B	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B	2729	238	0	0	1	1	0	0	2	2	2	1.025438e-02	1	2.370000e-01	2.642074e-02	1
160	COPB2	coatomer protein complex, subunit beta 2 (beta prime)	2805	18	0	0	0	1	0	0	1	1	1	2.680416e-02	NaN	NaN	2.680416e-02	1
161	USE1	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	812	83	0	0	0	1	0	0	1	1	1	2.698611e-02	NaN	NaN	2.698611e-02	1
162	NBPF10	neuroblastoma breakpoint family, member 10	10994	8	0	0	2	0	0	0	2	2	1	4.189310e-01	1.000000e-02	6.909000e-01	2.712670e-02	1
163	BLZF1	basic leucine zipper nuclear factor 1 (JEM-1)	1392	1000	0	0	2	0	0	0	2	2	2	1.033927e-02	1	3.970000e-01	2.779381e-02	1
164	LGALS12	lectin, galactoside-binding, soluble, 12 (galectin 12)	1046	1000	0	0	1	0	0	0	1	1	1	2.794343e-02	NaN	NaN	2.794343e-02	1
165	CCL23	chemokine (C-C motif) ligand 23	428	224	0	0	1	0	0	0	1	1	1	2.814715e-02	NaN	NaN	2.814715e-02	1
166	C1orf226	chromosome 1 open reading frame 226	960	54	0	0	1	0	0	0	1	1	1	2.826057e-02	NaN	NaN	2.826057e-02	1
167	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	3426	134	0	0	1	0	0	0	1	1	1	2.829024e-02	NaN	NaN	2.829024e-02	1
168	HIP1	huntingtin interacting protein 1	3236	305	0	0	1	1	0	0	2	2	2	4.433411e-03	1	3.100000e-01	2.845623e-02	1
169	PTAFR	platelet-activating factor receptor	1033	98	0	0	1	0	0	0	1	1	1	2.883192e-02	NaN	NaN	2.883192e-02	1
170	GEMIN4	gem (nuclear organelle) associated protein 4	3181	575	0	1	2	0	0	0	2	2	2	1.106659e-02	1	3.440000e-01	2.883872e-02	1
171	IGF2R	insulin-like growth factor 2 receptor	7664	1	0	0	2	0	0	0	2	2	1	4.634622e-01	1.000000e-02	3.454000e-01	2.954201e-02	1
172	AIFM1	apoptosis-inducing factor, mitochondrion-associated, 1	2047	77	0	0	1	0	0	0	1	1	1	2.957570e-02	NaN	NaN	2.957570e-02	1
