name	cov_gidx	longname	chr	start	end	len	gc	AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	AC-P02-Tumor-SM-63B4K	AC-P04-Tumor-SM-63B4O	AC-P04-Tumor-SM-63B4Q	AC-P05-Tumor-SM-63B4R	AC-P06-Tumor-SM-63B4T	AC-P07-Tumor-SM-63B4V	AC-P08-Tumor-SM-63B4X	AC-P09-Tumor-SM-63B4Z	AC-P09-Tumor-SM-63B52	AC-P10-Tumor-SM-63B53	AC-P10-Tumor-SM-63B55	AC-P11-Tumor-SM-63B56	AC-P12-Tumor-SM-63B58	AC-P12-Tumor-SM-63B59	AC-P14-Tumor-SM-63B5C	AC-P15-Tumor-SM-63B5D	AC-P15-Tumor-SM-63B5F	
AASDHPPT	23	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	11	105948292	105969419	930	3.779000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AASS	24	aminoadipate-semialdehyde synthase	7	121713600	121784344	2781	3.697300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AATF	25	apoptosis antagonizing transcription factor	17	35306175	35414170	1683	4.285000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AATK	26	apoptosis-associated tyrosine kinase	17	79091100	79139872	4125	6.095600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABAT	27	4-aminobutyrate aminotransferase	16	8768444	8878431	1503	4.692400e-01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCA1	28	ATP-binding cassette, sub-family A (ABC1), member 1	9	107543285	107690436	6786	4.418300e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCA10	29	ATP-binding cassette, sub-family A (ABC1), member 10	17	67144148	67240956	4632	3.574900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCA12	30	ATP-binding cassette, sub-family A (ABC1), member 12	2	215796267	216003151	7819	3.728400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCA13	31	ATP-binding cassette, sub-family A (ABC1), member 13	7	48211057	48687091	15177	3.922250e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
ABCA2	32	ATP-binding cassette, sub-family A (ABC1), member 2	9	139901686	139923374	7472	6.002400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCA3	33	ATP-binding cassette, sub-family A (ABC1), member 3	16	2325879	2390747	5115	5.114550e-01	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
ABCA4	34	ATP-binding cassette, sub-family A (ABC1), member 4	1	94458396	94586705	6822	4.573300e-01	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ABCA5	35	ATP-binding cassette, sub-family A (ABC1), member 5	17	67240576	67323323	4929	3.598900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCA6	36	ATP-binding cassette, sub-family A (ABC1), member 6	17	67074847	67138015	4854	3.653000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCA7	37	ATP-binding cassette, sub-family A (ABC1), member 7	19	1040102	1065568	6441	6.079400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCA8	38	ATP-binding cassette, sub-family A (ABC1), member 8	17	66863433	66951533	4746	3.688800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCA9	39	ATP-binding cassette, sub-family A (ABC1), member 9	17	66970774	67057136	4875	3.776800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCB1	40	ATP-binding cassette, sub-family B (MDR/TAP), member 1	7	87132948	87342564	3843	3.652600e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCB10	41	ATP-binding cassette, sub-family B (MDR/TAP), member 10	1	229652330	229694442	2217	4.298750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCB11	42	ATP-binding cassette, sub-family B (MDR/TAP), member 11	2	169779449	169887833	3966	3.722700e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCB4	43	ATP-binding cassette, sub-family B (MDR/TAP), member 4	7	87031361	87105019	3861	3.873200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCB5	44	ATP-binding cassette, sub-family B (MDR/TAP), member 5	7	20655245	20796636	3807	3.673200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCB6	45	ATP-binding cassette, sub-family B (MDR/TAP), member 6	2	220074494	220083672	2529	4.798600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCB7	46	ATP-binding cassette, sub-family B (MDR/TAP), member 7	23	74273107	74376132	2262	3.596000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCB8	47	ATP-binding cassette, sub-family B (MDR/TAP), member 8	7	150725510	150744867	2157	5.747450e-01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCB9	48	ATP-binding cassette, sub-family B (MDR/TAP), member 9	12	123413540	123459752	2301	5.111000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCC1	49	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16	16043434	16236928	4596	4.857200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCC10	50	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	6	43399489	43418163	4395	4.819600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCC11	51	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	16	48200822	48269088	4149	4.320000e-01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCC12	52	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	16	48116884	48180681	4080	4.624500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCC2	53	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	10	101542463	101611662	4638	4.495800e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCC3	54	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	17	48712218	48769062	4668	4.977850e-01	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ABCC4	55	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	13	95672084	95953687	4023	4.162500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCC5	56	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	3	183637726	183735727	4350	4.413900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCC6	57	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	16	16243423	16317328	4593	4.784900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCC8	58	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	11	17414433	17498449	4746	4.856600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCC9	59	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	12	21950326	22089628	4788	3.628200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCD1	60	ATP-binding cassette, sub-family D (ALD), member 1	23	152990323	153010216	2238	5.738400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCD2	61	ATP-binding cassette, sub-family D (ALD), member 2	12	39945022	40013843	2223	3.488100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCD3	62	ATP-binding cassette, sub-family D (ALD), member 3	1	94883933	94984218	2007	3.805500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCD4	63	ATP-binding cassette, sub-family D (ALD), member 4	14	74751980	74769767	1821	4.833300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCE1	64	ATP-binding cassette, sub-family E (OABP), member 1	4	146019156	146050675	1800	3.790100e-01	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
ABCF1	65	ATP-binding cassette, sub-family F (GCN20), member 1	6	30539170	30559307	2538	4.743600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCF2	66	ATP-binding cassette, sub-family F (GCN20), member 2	7	150904923	150924317	1909	4.991750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCF3	67	ATP-binding cassette, sub-family F (GCN20), member 3	3	183903863	183911795	2130	5.056750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCG1	68	ATP-binding cassette, sub-family G (WHITE), member 1	21	43619799	43717352	2193	5.146000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCG2	69	ATP-binding cassette, sub-family G (WHITE), member 2	4	89011417	89080011	1968	4.083300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCG4	70	ATP-binding cassette, sub-family G (WHITE), member 4	11	119019750	119033372	1941	4.732050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCG5	71	ATP-binding cassette, sub-family G (WHITE), member 5 (sterolin 1)	2	44039612	44065958	1956	4.099150e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCG8	72	ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)	2	44066103	44105604	2022	4.318600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD1	73	abhydrolase domain containing 1	2	27346657	27353678	1218	4.998950e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD10	74	abhydrolase domain containing 10	3	111697828	111712208	921	3.885500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD11	75	abhydrolase domain containing 11	7	73150427	73153190	1215	5.129450e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD12	76	abhydrolase domain containing 12	20	25275380	25371477	1475	5.005400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD12B	77	abhydrolase domain containing 12B	14	51338878	51371687	872	4.301900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD13	78	abhydrolase domain containing 13	13	108870763	108886602	1014	3.722100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD14A	79	abhydrolase domain containing 14A	3	52009042	52015215	816	5.422500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD14B	80	abhydrolase domain containing 14B	3	52002527	52008646	633	5.422500e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD15	81	abhydrolase domain containing 15	17	27887691	27894042	1407	4.599350e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD2	82	abhydrolase domain containing 2	15	89631381	89745591	1278	4.394600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD3	83	abhydrolase domain containing 3	18	19230858	19284766	1230	4.270500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD4	84	abhydrolase domain containing 4	14	23067147	23081257	1029	4.456450e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD5	85	abhydrolase domain containing 5	3	43732375	43764216	1050	4.254750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD6	86	abhydrolase domain containing 6	3	58223259	58280459	1014	4.605750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABHD8	87	abhydrolase domain containing 8	19	17402941	17414282	1320	5.395600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABI1	88	abl-interactor 1	10	27035527	27150016	1578	3.913900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABI2	89	abl interactor 2	2	204193003	204296891	1428	4.078300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABI3	90	ABI gene family, member 3	17	47287589	47300587	1101	4.951100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABI3BP	91	ABI gene family, member 3 (NESH) binding protein	3	100468181	100712334	3228	3.702700e-01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABL1	92	c-abl oncogene 1, receptor tyrosine kinase	9	133589268	133763060	3529	4.510500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABL2	93	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	1	179068463	179198819	3702	4.348600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABLIM1	94	actin binding LIM protein 1	10	116190870	116444414	2485	4.282000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABLIM2	95	actin binding LIM protein family, member 2	4	7967038	8160559	1988	5.349150e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABLIM3	96	actin binding LIM protein family, member 3	5	148521054	148639999	2052	4.485800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABO	97	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	9	136130563	136150630	1064	5.033800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABP1	98	amiloride binding protein 1 (amine oxidase (copper-containing))	7	150549573	150558379	2256	4.547250e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABR	99	active BCR-related gene	17	906760	1090616	2715	5.536700e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABRA	100	actin-binding Rho activating protein	8	107771712	107782472	1146	3.734750e-01	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
ABT1	101	activator of basal transcription 1	6	26597180	26600275	819	4.130800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABTB1	102	ankyrin repeat and BTB (POZ) domain containing 1	3	127391781	127399768	1437	5.113850e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABTB2	103	ankyrin repeat and BTB (POZ) domain containing 2	11	34172535	34378802	2520	4.828900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAA1	104	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	3	38164202	38178733	1275	4.673950e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAA2	105	acetyl-Coenzyme A acyltransferase 2	18	47309875	47340251	1194	4.488800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACACA	106	acetyl-Coenzyme A carboxylase alpha	17	35441928	35766902	8033	4.079600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACACB	107	acetyl-Coenzyme A carboxylase beta	12	109577202	109706028	7377	4.777200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAD10	108	acyl-Coenzyme A dehydrogenase family, member 10	12	112123857	112194910	3273	4.735000e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAD11	109	acyl-Coenzyme A dehydrogenase family, member 11	3	132276984	132378975	3396	3.837900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAD8	110	acyl-Coenzyme A dehydrogenase family, member 8	11	134123434	134135744	1248	4.571700e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAD9	111	acyl-Coenzyme A dehydrogenase family, member 9	3	128598333	128631956	1866	4.856200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACADL	112	acyl-Coenzyme A dehydrogenase, long chain	2	211052718	211090215	1293	3.679050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACADM	113	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	1	76190043	76229353	1278	3.989100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACADS	114	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	12	121163571	121177810	1239	4.732050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACADSB	115	acyl-Coenzyme A dehydrogenase, short/branched chain	10	124768429	124817805	1299	4.162100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACADVL	116	acyl-Coenzyme A dehydrogenase, very long chain	17	7123153	7128584	1968	5.279550e-01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAN	117	aggrecan	15	89346674	89418585	7593	5.109500e-01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAP1	118	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	17	7239848	7254793	2223	5.446400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAP2	119	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	3	194995466	195163817	2337	4.046700e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAP3	120	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	1	1227764	1243269	2505	6.057250e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAT1	121	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	11	107992258	108018889	1284	3.993600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACAT2	122	acetyl-Coenzyme A acetyltransferase 2	6	160182989	160200085	1194	4.317400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACBD3	123	acyl-Coenzyme A binding domain containing 3	1	226332382	226374423	1587	4.535400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACBD4	124	acyl-Coenzyme A binding domain containing 4	17	43209967	43221541	1054	5.255150e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACBD5	125	acyl-Coenzyme A binding domain containing 5	10	27484144	27531068	1578	4.216200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACBD6	126	acyl-Coenzyme A binding domain containing 6	1	180257353	180472022	849	3.706150e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACBD7	127	acyl-Coenzyme A binding domain containing 7	10	15117475	15130775	267	4.431300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACCN1	128	amiloride-sensitive cation channel 1, neuronal (degenerin)	17	31340108	32483825	2247	4.458100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACCN2	129	amiloride-sensitive cation channel 2, neuronal	12	50451487	50477393	1725	4.860000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACCN3	130	amiloride-sensitive cation channel 3	7	150745605	150749843	1711	5.747450e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACCN4	131	amiloride-sensitive cation channel 4, pituitary	2	220378892	220403488	2001	5.658200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACCN5	132	amiloride-sensitive cation channel 5, intestinal	4	156750881	156787425	1518	3.667400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACCS	133	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	11	44087729	44105569	1506	4.466300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACCSL	134	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like	11	44069531	44081527	1707	4.599100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACD	135	adrenocortical dysplasia homolog (mouse)	16	67691416	67694718	1635	5.002900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACE	136	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	17	61554434	61575739	4120	4.965150e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACE2	137	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	23	15579156	15620192	2418	3.848000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACER1	138	alkaline ceramidase 1	19	6306510	6333640	795	5.137500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACER2	139	alkaline ceramidase 2	9	19408925	19452500	828	4.202000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACER3	140	alkaline ceramidase 3	11	76571917	76734850	804	3.957100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACHE	141	acetylcholinesterase (Yt blood group)	7	100487616	100493541	1976	5.188750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACIN1	142	apoptotic chromatin condensation inducer 1	14	23527776	23564823	4165	4.807150e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACLY	143	ATP citrate lyase	17	40023181	40075272	3306	5.008400e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACMSD	144	aminocarboxymuconate semialdehyde decarboxylase	2	135596186	135659600	1011	4.105400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACN9	145	ACN9 homolog (S. cerevisiae)	7	96745905	96811073	378	3.840100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACO1	146	aconitase 1, soluble	9	32384601	32450830	2670	4.068000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACO2	147	aconitase 2, mitochondrial	22	41865129	41924992	2343	5.034900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACOT1	148	acyl-CoA thioesterase 1	14	74003928	74010498	1266	4.533600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACOT11	149	acyl-CoA thioesterase 11	1	55013901	55100417	3738	4.944400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACOT12	150	acyl-CoA thioesterase 12	5	80625948	80689988	1668	3.933200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ACOT13	151	acyl-CoA thioesterase 13	6	24667263	24705293	435	4.069800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
